question,answer,url,decks
"How do you write ""and"" and ""or"" in JS?","and = &&, or = ||",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Logical_Operators,CoffeeWriting
What is the skeleton structure of a for loop in JS?,for (<item> of <array>){},https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Loops_and_iteration#for_statement,CoffeeWriting
Name the three JavaScript declerations and how they differ from eachother:,1. const is used to make sure that a variable is kept constantly what was defined as. 2. let is used to let a variable be set towhat it was defined as knowing it will change. This is in the block scope 3. var is similar to let but was used in older versions of JSand was in the local scope. ,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements#Declarations,CoffeeWriting
What is negative inifinity?,a number that you get by dividing a negative number by zero.,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Number/NEGATIVE_INFINITY,CoffeeWriting
When will something return as undefined?,1. a variable when it hasnt been assigned a value 2. a method/statement when the variable doesnt have a value. 3. a function when a value isnt returned,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/undefined,CoffeeWriting
What are the web safe fonts?,fonts that most things use. It is importnat to have these in your list of fonts incase a server doesnt have your first font. ,https://websitesetup.org/web-safe-fonts-html-css/,ChocolateSmoothieShakes
What is your favorite CSS framework to use and why?,"options: bootstrap, tachyons, foundations, bulma",https://geekflare.com/best-css-frameworks/,ChocolateSmoothieShakes
"How do you differentiate between a class, id and tag selectors?","class = .<name of class> , id = # <name of id>, tag = <name of element tag>",https://developer.mozilla.org/en-US/docs/Web/CSS/ID_selectors,ChocolateSmoothieShakes
There are many layout methods for CSS. Which one is your favorite? Describe in that method how to align 9 photos in a 3 by 3 grid.,In flexbox: in the parent class display: flex: flex-direction: row; flex-wrap: wrap; ,https://css-tricks.com/snippets/css/a-guide-to-flexbox/,ChocolateSmoothieShakes
What is HTML?,"The odds are that you won’t be asked this directly, but it can’t hurt to remind yourself what HTML stands for: Hyper Text Markup Language. This means that an HTML document, written in plain text, is used to describe the structure and content of web pages, with links to other pagesand resources.",https://www.goskills.com/Development/Articles/HTML-interview-questions-answers,HTML Questions
